base-shuffle,base-fromTop,meno_tempo-shuffle,meno_tempo-fromTop,senza_evja-shuffle,senza_evja-fromTop,sensore,epochs,timesteps
0.120197795,0.3594659,0.09257284,5.061379,0.24733798,1.1782304,1,350,5
0.09569294,0.39573908,0.096271105,0.47996897,0.17244385,0.513412,2,350,5
0.13109794,0.34788007,0.11021166,0.39644387,0.24903272,0.40175793,3,350,5
0.15437663,1.0683101,0.13544737,1.0557443,0.20634604,1.346916,4,350,5
0.07315187,0.25386634,0.0751128,0.26091716,0.07960468,0.29267564,5,350,5
0.08645346,0.31981537,0.076645695,0.3353757,0.08906887,0.33938193,6,350,5
0.056923635,0.2859744,0.05794007,0.30872488,0.062400464,0.34627518,7,350,5
