mapeFalse,mapeTrue,sensor,epochs,time_lag,dropout
0.20113598,0.049834874,7,50,2,0.0
0.18645298,0.053383127,7,50,2,0.1
0.18839411,0.053694632,7,50,2,0.2
0.20771503,0.059317056,7,50,2,0.3
0.20304923,0.056013696,7,50,2,0.4
0.23942415,0.057397194,7,50,2,0.5
0.22877546,0.057801522,7,50,3,0.0
0.2081466,0.066725254,7,50,3,0.1
0.23607965,0.07101619,7,50,3,0.2
0.2004657,0.069459066,7,50,3,0.3
0.21481024,0.07142273,7,50,3,0.4
0.22006428,0.079383686,7,50,3,0.5
0.24140339,0.058293626,7,50,4,0.0
0.23328225,0.07103712,7,50,4,0.1
0.18818983,0.07287857,7,50,4,0.2
0.2184917,0.06794048,7,50,4,0.3
0.20054361,0.06883076,7,50,4,0.4
0.23078848,0.072973974,7,50,4,0.5
0.26632938,0.08667047,7,50,5,0.0
0.22780776,0.09410682,7,50,5,0.1
0.2981181,0.08361031,7,50,5,0.2
0.27559954,0.07983514,7,50,5,0.3
0.24677292,0.09170394,7,50,5,0.4
0.26808596,0.084411345,7,50,5,0.5
0.24274997,0.10523732,7,50,6,0.0
0.22111066,0.124462664,7,50,6,0.1
0.26780507,0.11137942,7,50,6,0.2
0.26740462,0.15684761,7,50,6,0.3
0.24019712,0.12134607,7,50,6,0.4
0.25576442,0.127539,7,50,6,0.5
0.28282285,0.07616432,7,50,7,0.0
0.29958716,0.077371076,7,50,7,0.1
0.28099006,0.08619387,7,50,7,0.2
0.30689594,0.08648993,7,50,7,0.3
0.30265117,0.08122048,7,50,7,0.4
0.33503836,0.084061414,7,50,7,0.5
0.31177622,0.09075804,7,50,8,0.0
0.27910587,0.09702439,7,50,8,0.1
0.24096885,0.095350556,7,50,8,0.2
0.27997822,0.10724145,7,50,8,0.3
0.26332352,0.097890526,7,50,8,0.4
0.29211494,0.10263053,7,50,8,0.5
0.32685184,0.0990396,7,50,9,0.0
0.31594878,0.098056294,7,50,9,0.1
0.2998963,0.103776015,7,50,9,0.2
0.36352366,0.102357954,7,50,9,0.3
0.29289666,0.11265571,7,50,9,0.4
0.3433076,0.11931459,7,50,9,0.5
0.36877534,0.12325215,7,50,10,0.0
0.44874552,0.1583417,7,50,10,0.1
0.37336966,0.13582338,7,50,10,0.2
0.37403265,0.12029587,7,50,10,0.3
0.42150685,0.15838334,7,50,10,0.4
0.35653165,0.15590803,7,50,10,0.5
0.24924453,0.03264838,7,100,2,0.0
0.20553881,0.04057459,7,100,2,0.1
0.23946777,0.0403612,7,100,2,0.2
0.23414168,0.048757892,7,100,2,0.3
0.23888613,0.04964007,7,100,2,0.4
0.27187982,0.05482783,7,100,2,0.5
0.21843995,0.059222754,7,100,3,0.0
0.26467144,0.061185177,7,100,3,0.1
0.20588821,0.070595674,7,100,3,0.2
0.20211126,0.065859586,7,100,3,0.3
0.23575538,0.069266364,7,100,3,0.4
0.23067524,0.0754467,7,100,3,0.5
0.22939008,0.049961902,7,100,4,0.0
0.2517277,0.05621846,7,100,4,0.1
0.220556,0.065674834,7,100,4,0.2
0.22018526,0.062186647,7,100,4,0.3
0.25824746,0.06412424,7,100,4,0.4
0.24370837,0.07747101,7,100,4,0.5
0.31335244,0.06406255,7,100,5,0.0
0.3409921,0.07297418,7,100,5,0.1
0.25630826,0.07757661,7,100,5,0.2
0.33161876,0.079710625,7,100,5,0.3
0.31383818,0.086180024,7,100,5,0.4
0.2852833,0.08297247,7,100,5,0.5
0.28042012,0.10434725,7,100,6,0.0
0.22250156,0.11208047,7,100,6,0.1
0.24631085,0.11943515,7,100,6,0.2
0.21729998,0.11809815,7,100,6,0.3
0.2601687,0.13442063,7,100,6,0.4
0.23251905,0.114717714,7,100,6,0.5
0.31196105,0.06967198,7,100,7,0.0
0.2776026,0.07128624,7,100,7,0.1
0.293362,0.07626632,7,100,7,0.2
0.3036044,0.09338233,7,100,7,0.3
0.3935492,0.08014413,7,100,7,0.4
0.28624666,0.09093111,7,100,7,0.5
0.3088728,0.08535629,7,100,8,0.0
0.3177648,0.085943826,7,100,8,0.1
0.35929114,0.08880709,7,100,8,0.2
0.39338598,0.09718663,7,100,8,0.3
0.3187508,0.10509569,7,100,8,0.4
0.32077903,0.09407711,7,100,8,0.5
0.34519434,0.09565554,7,100,9,0.0
0.33243728,0.11773208,7,100,9,0.1
0.3212073,0.10439729,7,100,9,0.2
0.3894958,0.10366086,7,100,9,0.3
0.34604627,0.114049666,7,100,9,0.4
0.30817044,0.10530273,7,100,9,0.5
0.35841912,0.12520973,7,100,10,0.0
0.4228912,0.12000432,7,100,10,0.1
0.4014148,0.13676511,7,100,10,0.2
0.4503933,0.1453364,7,100,10,0.3
0.40394235,0.17152072,7,100,10,0.4
0.37239823,0.15192802,7,100,10,0.5
0.29092494,0.029878553,7,150,2,0.0
0.22499332,0.034785658,7,150,2,0.1
0.25481516,0.038011424,7,150,2,0.2
0.2881666,0.037002273,7,150,2,0.3
0.25836432,0.04257288,7,150,2,0.4
0.26961648,0.047448736,7,150,2,0.5
0.325325,0.041699,7,150,3,0.0
0.25561875,0.04939466,7,150,3,0.1
0.28563353,0.055286065,7,150,3,0.2
0.25039074,0.057482086,7,150,3,0.3
0.2455408,0.05834849,7,150,3,0.4
0.2684378,0.065651305,7,150,3,0.5
0.3126106,0.049894646,7,150,4,0.0
0.24565631,0.053139992,7,150,4,0.1
0.25745773,0.05400482,7,150,4,0.2
0.25864306,0.061075423,7,150,4,0.3
0.26429522,0.058582824,7,150,4,0.4
0.28184602,0.06454805,7,150,4,0.5
0.33788505,0.06390092,7,150,5,0.0
0.2751316,0.07344226,7,150,5,0.1
0.35235217,0.07400576,7,150,5,0.2
0.2474081,0.08234466,7,150,5,0.3
0.33563784,0.078289814,7,150,5,0.4
0.2833803,0.075252205,7,150,5,0.5
0.28814495,0.102597244,7,150,6,0.0
0.2981776,0.099931486,7,150,6,0.1
0.30130836,0.10474165,7,150,6,0.2
0.36851108,0.12260266,7,150,6,0.3
0.2569166,0.12117225,7,150,6,0.4
0.26369566,0.11085887,7,150,6,0.5
0.34137905,0.07112729,7,150,7,0.0
0.3814681,0.07332651,7,150,7,0.1
0.29863334,0.08139149,7,150,7,0.2
0.27069592,0.084839925,7,150,7,0.3
0.308719,0.0804582,7,150,7,0.4
0.28897658,0.091457404,7,150,7,0.5
0.3603181,0.08622335,7,150,8,0.0
0.38111803,0.07964836,7,150,8,0.1
0.29838496,0.09205207,7,150,8,0.2
0.2967609,0.10359695,7,150,8,0.3
0.30882725,0.09438654,7,150,8,0.4
0.36094448,0.09065375,7,150,8,0.5
0.3959243,0.09524519,7,150,9,0.0
0.3942376,0.09774884,7,150,9,0.1
0.37590596,0.09957034,7,150,9,0.2
0.31739217,0.10193563,7,150,9,0.3
0.3106854,0.101618856,7,150,9,0.4
0.36778465,0.09855633,7,150,9,0.5
0.40730286,0.12833832,7,150,10,0.0
0.4407886,0.13971472,7,150,10,0.1
0.37548172,0.12859291,7,150,10,0.2
0.5023794,0.1437291,7,150,10,0.3
0.42057353,0.15288283,7,150,10,0.4
0.4226487,0.1374376,7,150,10,0.5
0.3024178,0.027583297,7,200,2,0.0
0.26406536,0.03240289,7,200,2,0.1
0.25206915,0.036615066,7,200,2,0.2
0.2785254,0.038141306,7,200,2,0.3
0.23859456,0.038298186,7,200,2,0.4
0.22539762,0.03977465,7,200,2,0.5
0.2817379,0.03974283,7,200,3,0.0
0.2256939,0.048381567,7,200,3,0.1
0.24890482,0.052767046,7,200,3,0.2
0.25957683,0.05705674,7,200,3,0.3
0.23814583,0.06760428,7,200,3,0.4
0.27389893,0.062004093,7,200,3,0.5
0.31232578,0.04870392,7,200,4,0.0
0.2871359,0.051127665,7,200,4,0.1
0.28870994,0.050996523,7,200,4,0.2
0.2697138,0.0659605,7,200,4,0.3
0.2814928,0.061301872,7,200,4,0.4
0.29980344,0.068031564,7,200,4,0.5
0.31748638,0.065625034,7,200,5,0.0
0.2774387,0.06422548,7,200,5,0.1
0.31759134,0.06382898,7,200,5,0.2
0.34897435,0.07435864,7,200,5,0.3
0.33657038,0.08370933,7,200,5,0.4
0.3422014,0.078985244,7,200,5,0.5
0.28075182,0.11928695,7,200,6,0.0
0.31923774,0.105769314,7,200,6,0.1
0.28854725,0.10659743,7,200,6,0.2
0.3016438,0.11198631,7,200,6,0.3
0.21826401,0.13232902,7,200,6,0.4
0.32012665,0.12236452,7,200,6,0.5
0.28735778,0.07949637,7,200,7,0.0
0.32272774,0.07354751,7,200,7,0.1
0.36901027,0.07163964,7,200,7,0.2
0.4063034,0.07369494,7,200,7,0.3
0.31054118,0.07865572,7,200,7,0.4
0.36156854,0.07721182,7,200,7,0.5
0.3450574,0.08522527,7,200,8,0.0
0.39346611,0.086039014,7,200,8,0.1
0.48544198,0.08573825,7,200,8,0.2
0.3972062,0.09028958,7,200,8,0.3
0.38054153,0.08685029,7,200,8,0.4
0.3218175,0.092342734,7,200,8,0.5
0.29048303,0.09798728,7,200,9,0.0
0.35550916,0.09849082,7,200,9,0.1
0.4195214,0.11008125,7,200,9,0.2
0.37799132,0.10198267,7,200,9,0.3
0.34923103,0.09864853,7,200,9,0.4
0.36855546,0.11105897,7,200,9,0.5
0.39467663,0.13718016,7,200,10,0.0
0.39443165,0.13027376,7,200,10,0.1
0.3679697,0.1374905,7,200,10,0.2
0.466819,0.12744991,7,200,10,0.3
0.49532476,0.12469516,7,200,10,0.4
0.48950416,0.17338876,7,200,10,0.5
0.26230872,0.034923982,7,250,2,0.0
0.24025741,0.035668135,7,250,2,0.1
0.2602491,0.031240491,7,250,2,0.2
0.25242105,0.035086665,7,250,2,0.3
0.24010521,0.034315154,7,250,2,0.4
0.23598951,0.035175823,7,250,2,0.5
0.26712343,0.046505775,7,250,3,0.0
0.2533162,0.0516189,7,250,3,0.1
0.23712774,0.049856376,7,250,3,0.2
0.2634305,0.04916388,7,250,3,0.3
0.30024987,0.051276606,7,250,3,0.4
0.2195894,0.06251144,7,250,3,0.5
0.2742248,0.049606256,7,250,4,0.0
0.27606058,0.05184484,7,250,4,0.1
0.29653734,0.051101457,7,250,4,0.2
0.28467572,0.056572184,7,250,4,0.3
0.24383488,0.055941906,7,250,4,0.4
0.28909874,0.05656935,7,250,4,0.5
0.31405672,0.056305785,7,250,5,0.0
0.26039746,0.063627355,7,250,5,0.1
0.3683766,0.07040294,7,250,5,0.2
0.33007377,0.066796094,7,250,5,0.3
0.32282534,0.077768564,7,250,5,0.4
0.31554478,0.078482576,7,250,5,0.5
0.23933342,0.09660999,7,250,6,0.0
0.3258625,0.09552205,7,250,6,0.1
0.30431327,0.10919078,7,250,6,0.2
0.27144483,0.109609015,7,250,6,0.3
0.26032022,0.12018837,7,250,6,0.4
0.27512604,0.11034668,7,250,6,0.5
0.30908293,0.06990936,7,250,7,0.0
0.35140797,0.07556757,7,250,7,0.1
0.3634878,0.06978328,7,250,7,0.2
0.32822165,0.075578555,7,250,7,0.3
0.39662704,0.07534948,7,250,7,0.4
0.33074743,0.07901399,7,250,7,0.5
0.3965285,0.08614198,7,250,8,0.0
0.37618145,0.08245906,7,250,8,0.1
0.39188775,0.09848949,7,250,8,0.2
0.5267842,0.08669832,7,250,8,0.3
0.43148565,0.08993033,7,250,8,0.4
0.3461995,0.08676529,7,250,8,0.5
0.32009506,0.096392564,7,250,9,0.0
0.2994792,0.10241911,7,250,9,0.1
0.36667877,0.09877124,7,250,9,0.2
0.40938342,0.0981257,7,250,9,0.3
0.3496848,0.0996781,7,250,9,0.4
0.42321852,0.10759515,7,250,9,0.5
0.3649458,0.13502318,7,250,10,0.0
0.4206859,0.13499558,7,250,10,0.1
0.40689373,0.13635851,7,250,10,0.2
0.4077904,0.13021314,7,250,10,0.3
0.50040185,0.13250807,7,250,10,0.4
0.43053856,0.1379451,7,250,10,0.5
0.27645707,0.044074584,7,300,2,0.0
0.23347707,0.033773173,7,300,2,0.1
0.22917597,0.03222346,7,300,2,0.2
0.24345267,0.036468286,7,300,2,0.3
0.2295478,0.034642734,7,300,2,0.4
0.2333698,0.040277205,7,300,2,0.5
0.23391245,0.05191875,7,300,3,0.0
0.23407623,0.051948197,7,300,3,0.1
0.2352995,0.048007336,7,300,3,0.2
0.27273697,0.049694944,7,300,3,0.3
0.2565729,0.048388764,7,300,3,0.4
0.26777607,0.051313743,7,300,3,0.5
0.36160028,0.04817912,7,300,4,0.0
0.25627288,0.051210776,7,300,4,0.1
0.25662667,0.053004656,7,300,4,0.2
0.28318733,0.050385132,7,300,4,0.3
0.26936215,0.05087675,7,300,4,0.4
0.2558908,0.059512742,7,300,4,0.5
0.30702934,0.0598438,7,300,5,0.0
0.3155003,0.061119903,7,300,5,0.1
0.30494568,0.06265395,7,300,5,0.2
0.30894756,0.06870871,7,300,5,0.3
0.30210137,0.068219446,7,300,5,0.4
0.4560353,0.06765766,7,300,5,0.5
0.28301725,0.100238755,7,300,6,0.0
0.28499934,0.106919035,7,300,6,0.1
0.34590876,0.09557699,7,300,6,0.2
0.2637056,0.129836,7,300,6,0.3
0.24945818,0.10185755,7,300,6,0.4
0.24803421,0.10583658,7,300,6,0.5
0.2855317,0.07004865,7,300,7,0.0
