target_1,y_test_1,predicted_1,evja_temp_1
7.708,7.708,5.3361397,7.1
11.686,11.686,6.0881157,9.6
8.053,8.053,4.749125,6.9
5.448,5.448,4.0318494,4.5
4.691,4.6909995,2.9699302,3.7
3.906,3.906,3.5365403,3.0
4.028,4.028,3.6974154,2.9
3.94,3.94,3.3598883,3.1
3.62,3.6200001,2.6434596,2.8
4.733,4.733,4.1196113,3.5
9.891,9.891,6.909951,8.9
9.677,9.677,6.3199215,9.5
5.399,5.399,4.135246,5.1
4.496,4.4960003,3.6945214,3.7
3.243,3.2429998,2.9278042,2.4
2.602,2.6020005,1.9316117,1.7
1.869,1.869,1.238376,1.1
1.749,1.7489997,0.7729869,0.9
1.391,1.3909998,1.3846196,0.4
4.707,4.707,3.991466,3.8
9.45,9.45,6.041407,8.8
8.35,8.349999,4.5194397,8.3
4.441,4.4409995,3.394636,3.4
4.03,4.03,3.623176,2.9
3.899,3.899,2.9905093,2.7
4.015,4.015,3.3386748,2.6
3.92,3.92,3.3051257,2.8
3.907,3.907,3.8295476,3.0
5.227,5.227,5.5035963,4.1
7.124,7.123999,7.1755824,7.6
9.52,9.52,7.9286695,8.4
7.122,7.122,6.909142,5.9
6.064,6.0640006,6.6241536,5.0
5.963,5.963,6.694969,4.7
6.302,6.3020005,7.0734763,4.9
6.84,6.84,7.1568637,5.4
6.748,6.748,6.695715,5.3
6.056,6.056,6.686391,4.8
7.357,7.357,8.050966,5.5
7.582,7.582,8.289496,6.5
7.539,7.5390005,5.324283,6.3
