target_1,y_test_1,predicted_1,target_2,y_test_2,predicted_2,target_3,y_test_3,predicted_3,target_4,y_test_4,predicted_4,target_5,y_test_5,predicted_5,target_6,y_test_6,predicted_6,target_7,y_test_7,predicted_7
6.609,6.609,6.050535,6.667,6.667,5.8219395,6.45,6.45,5.6639686,6.404,6.404,6.666344,7.237,7.2370005,6.5879235,7.241,7.241,6.018639,7.248,7.248,6.088518
6.853,6.853,6.0777464,6.966,6.9659996,6.4433465,6.675,6.675,6.0486813,6.702,6.702,7.1978326,7.555,7.5550003,7.0579295,7.571,7.571,6.5122857,7.578,7.578,6.3132215
6.913,6.9130006,6.207515,7.165,7.165,6.360356,6.92,6.92,6.0197086,6.92,6.92,7.1784945,7.539,7.5390005,7.378862,7.49,7.49,6.281255,7.693,7.693,6.544714
7.381,7.3810005,6.4082384,7.549,7.549,6.6145473,7.308,7.3079996,6.325611,7.239,7.2390003,7.178312,7.94,7.94,7.408239,7.746,7.746,6.5605373,7.934,7.934001,6.942064
7.517,7.517,6.5195374,7.696,7.696,6.371316,7.475,7.4750004,6.276856,7.401,7.4009995,7.1259584,8.029,8.029001,7.3439713,7.912,7.912,6.3626385,8.059,8.059,6.8184485
7.478,7.478,6.9865026,7.531,7.531,6.6575484,7.3,7.3000007,6.5010934,7.337,7.3370004,7.3362613,7.984,7.9840007,7.695791,7.887,7.887,6.8066535,7.953,7.953,6.8211174
10.534,10.534,9.963399,11.069,11.069001,9.77359,10.744,10.744,9.122764,10.602,10.602001,10.287316,12.261,12.261,9.966949,12.574,12.574,9.552345,11.877,11.877,9.916067
17.776,17.775997,10.59212,17.416,17.416,9.933794,18.461,18.461,9.346949,18.461,18.460999,10.551851,16.257,16.257,9.917036,17.021,17.021002,9.573948,17.706,17.706,10.783328
13.166,13.166,10.427321,12.805,12.805001,9.580529,13.243,13.243001,9.426176,13.201,13.201,10.312036,13.524,13.524,10.049868,13.526,13.526,9.6694565,14.15,14.15,10.463394
7.512,7.5120006,7.1508374,7.495,7.495,7.313351,7.536,7.5360003,7.171438,7.517,7.5169997,7.72172,7.865,7.865,8.118502,7.843,7.8429995,7.614996,8.071,8.071001,7.319647
8.349,8.348999,6.687998,8.444,8.443999,7.4798174,8.321,8.321001,6.761765,8.318,8.318,7.7808404,8.629,8.629,7.913189,8.77,8.77,7.71333,8.855,8.8550005,7.443504
6.77,6.7699995,4.23314,6.68,6.6799994,5.2082276,6.756,6.756,4.750154,6.821,6.8209996,5.7923083,7.363,7.3630004,5.7417407,7.414,7.4139996,5.3512187,7.688,7.688,5.058483
5.923,5.923,5.7914762,5.947,5.947,6.3463135,5.931,5.931,6.0494146,6.005,6.005,6.9760375,6.349,6.349,6.904361,6.385,6.385,6.175243,6.78,6.78,6.481525
7.948,7.9480004,6.6158047,7.968,7.968,7.021576,7.873,7.873,6.5743833,7.867,7.867,7.646661,8.099,8.099001,8.161817,8.106,8.106001,7.022418,8.442,8.442,7.3928747
6.832,6.8320003,4.5547104,6.837,6.837,5.168852,6.906,6.905999,4.6997647,6.838,6.8380003,5.2582574,6.9,6.9,5.7632627,6.908,6.908,5.3272533,7.113,7.113,4.8400235
5.362,5.362,6.8730016,5.412,5.412,7.0785685,5.383,5.383,6.853503,5.427,5.427,7.335897,6.033,6.033,7.5608974,6.147,6.147,7.387677,6.671,6.671,7.291574
